Year,Duration,Rating,Votes,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_Unknown,Genre_War,Genre_Western,Director_Avg_Rating,Actor 1_Avg_Rating,Actor 2_Avg_Rating,Actor 3_Avg_Rating,Num_Genres,Decade_1940s,Decade_1950s,Decade_1960s,Decade_1970s,Decade_1980s,Decade_1990s,Decade_2000s,Decade_2010s
2012,113.0,7.8,21.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8,7.8,6.65,5.8,3,False,False,False,False,False,False,False,True
2012,111.0,5.7,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,5.166666666666667,4.45,6.8999999999999995,1,False,False,False,False,False,False,False,True
1974,134.0,6.5,36.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2272727272727275,6.35,6.253846153846154,6.5,2,False,False,False,True,False,False,False,False
2007,132.29447957614084,6.5,82.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.55,7.266666666666667,6.5,6.5,2,False,False,False,False,False,False,True,False
2011,110.0,4.6,19.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,5.9,5.85,4.6,3,False,False,False,False,False,False,False,True
1967,132.29447957614084,5.4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.94,6.7504,6.6235,6.521232876712329,1,False,False,True,False,False,False,False,False
2014,104.0,4.2,171.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2,4.85,4.2,4.2,1,False,False,False,False,False,False,False,True
2007,92.0,6.2,31.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,6.2,6.2,5.95,1,False,False,False,False,False,False,True,False
2005,136.0,5.3,281.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,5.5,5.875,6.916666666666667,2,False,False,False,False,False,False,True,False
1988,126.0,5.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.75,5.54,6.0,1,False,False,False,False,True,False,False,False
1995,132.29447957614084,3.4,10.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,3.4,4.233333333333333,2,False,False,False,False,False,True,False,False
2016,115.0,5.7,398.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.85,5.95,5.7,5.75,2,False,False,False,False,False,False,False,True
2006,100.0,6.2,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6.2,7.050000000000001,6.052173913043478,1,False,False,False,False,False,False,True,False
2011,137.0,6.1,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.1,5.8999999999999995,6.1,5.9,3,False,False,False,False,False,False,False,True
1987,127.0,4.1,34.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.133333333333334,5.616666666666667,5.55,5.5,3,False,False,False,False,True,False,False,False
2019,120.0,5.3,449.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.3,6.6375,5.166666666666667,5.191666666666666,1,False,False,False,False,False,False,False,True
2019,130.0,5.3,249.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.1,5.3,5.449999999999999,3,False,False,False,False,False,False,False,True
2009,122.0,5.4,35.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.991666666666667,5.4817073170731705,5.6125,5.164285714285714,3,False,False,False,False,False,False,True,False
2021,115.0,6.6,21.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,6.6,6.6,6.6,3,False,False,False,False,False,False,False,False
2003,119.0,4.7,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.166666666666667,5.8999999999999995,4.9,4.7,2,False,False,False,False,False,False,True,False
2017,124.0,5.3,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.845454545454545,5.3,5.3,1,False,False,False,False,False,False,False,True
2009,135.0,7.3,35.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,6.56,5.24,5.883333333333333,3,False,False,False,False,False,False,True,False
2019,128.0,7.4,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,7.4,7.4,7.4,2,False,False,False,False,False,False,False,True
2005,90.0,4.8,38.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.8499999999999996,4.8,4.8,2,False,False,False,False,False,False,True,False
2016,105.0,8.1,412.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,8.1,8.1,8.1,1,False,False,False,False,False,False,False,True
2017,145.0,6.3,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,6.3,6.3,6.3,1,False,False,False,False,False,False,False,True
2016,110.0,7.5,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5,7.075,6.1000000000000005,5.6,2,False,False,False,False,False,False,False,True
